CGATS.17

ORIGINATOR	"i1Profiler - X-Rite, Inc."
INSTRUMENTATION	"i1Pro 3 ; Serial number 0"
DESCRIPTOR	"Chart 2033 Patches"
FILTER	""
CREATED		"2025-04-06T20:23:11"

NUMBER_OF_FIELDS	5
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	
END_DATA_FORMAT

NUMBER_OF_SETS	2033
BEGIN_DATA
596	-	  231.82	   63.75	  139.09	
597	-	   46.36	  127.50	   92.73	
598	-	   92.73	  106.25	  185.45	
599	-	  185.45	  170.00	  115.91	
600	-	  231.82	  170.00	  255.00	
601	-	  231.82	   63.75	  255.00	
602	-	  200.08	  200.08	  244.54	
603	-	  162.27	   42.50	   23.18	
604	-	    0.00	  233.75	   69.55	
605	-	  185.45	  170.00	  162.27	
606	-	  162.27	    0.00	   46.36	
607	-	   46.36	   85.00	  115.91	
608	-	  182.42	  222.96	  182.42	
609	-	  115.91	   21.25	   46.36	
610	-	  185.45	   63.75	  208.64	
611	-	  185.45	  106.25	  255.00	
612	-	  185.45	  255.00	  255.00	
613	-	  231.82	  170.00	  185.45	
614	-	   30.36	   30.36	   30.36	
615	-	  139.09	  170.00	  162.27	
616	-	  255.00	  255.00	   23.18	
617	-	  185.45	  148.75	   69.55	
618	-	    0.00	   21.25	  208.64	
619	-	    0.00	  255.00	    0.00	
620	-	   69.55	   63.75	  231.82	
621	-	  231.82	   21.25	  208.64	
622	-	   46.36	  191.25	   92.73	
623	-	  208.64	   85.00	   23.18	
624	-	   88.27	   88.27	  107.88	
625	-	  162.27	  191.25	  255.00	
626	-	  231.82	   42.50	  185.45	
627	-	  162.27	  255.00	  185.45	
628	-	   23.18	   63.75	   23.18	
629	-	  162.27	   63.75	  115.91	
630	-	  208.64	    0.00	  115.91	
631	-	   70.62	   70.62	   86.31	
632	-	   23.18	    0.00	  162.27	
